,Qinghai_synth,Qinghai_actual,Gansu_synth,Gansu_actual,Ningxia_synth,Ningxia_actual,Neimeng_synth,Neimeng_actual,Shanxi_synth,Shanxi_actual,Shaanxi_synth,Shaanxi_actual,Henan_synth,Henan_actual,Shandong_synth,Shandong_actual
1978,1.7331628993396804,1.7610948690301995,8.772811448672444,8.893103077224087,3.9502361215164923,3.9176603300958823,8.973286814003707,9.27498965525102,4.429917509836348,4.475938694512571,4.876350111380481,4.812899674493491,16.064873352152567,16.388404309261293,16.98874090513682,17.01298645782002
1979,1.7261685347281295,1.733981316917704,8.848005177027439,8.828754014263522,3.9054474393891647,3.942935558031986,9.033695150026665,9.326507262168311,4.543024183974475,4.593972373037886,4.974640217639547,4.913722480045768,15.766810833092226,16.006854775866266,17.17319585438021,17.223779302640693
1980,1.7116446006465964,1.7106186514610873,8.90916849956208,8.901793850994757,3.868120837982805,3.9176603300958823,8.711603114606866,8.709630946595645,4.383876780471907,4.568694073957664,4.849669369492262,4.955798139055773,15.462964534082552,15.567942943865752,17.095062317196103,17.007283104797448
1981,1.7435679563796878,1.7338687754611346,8.880404686070507,8.849169378349732,4.245595506109262,4.16511705302037,8.366851456723078,8.153306400367777,4.199806154442585,4.389656033018238,4.692896196286868,4.854765579481937,14.883783680631531,14.950014251260674,17.298509410283916,17.204296252810543
1982,1.7464092088078316,1.7478638963501414,8.851519533783343,8.815817011265317,4.615573644519432,4.569328213374353,8.143415915091692,8.034691347486843,4.057551312706301,4.2200690506756775,4.574809055029465,4.742176456187098,14.712964672427013,14.44238727560543,17.374976821883525,17.441760660008654
1983,1.749598320982506,1.7532745528806069,8.822512401132574,8.798943409486284,4.937238390473058,4.922142979956427,7.835827033627458,7.972885630914626,4.015665176923268,4.081258213432065,4.586208743091768,4.606885953637361,14.305170290540994,14.23076618113565,17.631801019407465,17.737650673120022
1984,1.7806048161315104,1.7763763579701357,8.856318489705332,8.847105238997198,5.309408986251248,5.297077600021557,7.805958550825006,7.653160952417623,3.975128090278635,3.917840421464071,4.543859439633089,4.497932164733539,14.353939547439573,14.262786785586783,17.817654627074557,17.86584024752648
1985,1.8107586028706055,1.799478163059665,8.826068879193073,8.826340779544267,5.683814823869278,5.6923923589181324,7.81513549709315,7.508853444408317,3.952931443956765,3.69398732916848,4.517558206296955,4.389218847884173,14.477871233040402,14.294104319333812,17.987325159017974,17.978449939283713
1986,1.837221611393321,1.822579968149194,8.795694063013825,8.801476418035449,6.057208299155056,6.148329625751209,7.751251741918278,7.802999634305735,3.8912901758613474,3.507774639184978,4.454830772565562,4.297422815896861,14.470947179458683,14.356064480949872,18.163249021302775,18.058468497675765
1987,1.8747200984490717,1.845681773238724,8.765194041167588,8.813724221180069,6.47247661611427,6.607516660668591,7.771996742118441,8.032181915608488,3.888721713341952,3.4461588405584083,4.449520852401869,4.205061816040843,14.601639354690832,14.4207941387866,18.362238791771716,18.096173129561503
1988,1.9246569702885472,1.868783578328253,8.734568813654361,8.835468947640521,6.861193902375317,6.981681104670248,7.764482383869344,8.326487085584455,3.9171856888898633,3.369276978089095,4.483772033396018,4.153428317610705,14.608728379717348,14.480982728767785,18.611177685020408,17.67028685875852
1989,1.9966544029610438,1.8918853834177825,8.60139658177868,8.818258638657976,7.319879652515788,7.387715498875156,7.801470974648012,8.852214626535973,4.038356995214845,3.27131581307746,4.616150321795504,3.990368044474158,14.550570940828393,14.827954661447048,18.95235307682945,17.83507802986103
1990,2.074066612169325,1.9149871885073115,8.516727704028034,8.90496140037666,8.19683561071895,7.816141731277303,7.864601737944811,9.545842643366946,4.184480591498239,3.1576543414556517,4.773715569618994,3.859743868762485,14.520831471610599,15.15805161687509,19.41365269880282,18.32888428529333
1991,2.0380768091814216,2.000427959822052,8.562913712440778,9.16724820415289,8.48877047106841,7.96613634440202,8.194057174961285,10.117510934744152,4.474648517788325,3.279704321843681,5.052863950746674,4.068626847037659,14.807408334972257,15.873791692108316,19.674441814322442,18.873657228173244
1992,1.7927015974911853,1.986335386774149,8.556391731310029,9.191150515357515,8.421065586337527,7.872800800962162,8.185988894564373,12.69968343835144,4.431839195470425,3.307473934885926,5.009676880253385,4.151091739541557,14.769796600114047,15.809047574907868,19.435712536494215,18.714444046176293
1993,1.5265792333603045,1.8944652798135209,8.521747375498581,9.152176695632663,7.424484306534796,7.159999999999998,7.690815920131072,15.007580896937208,3.6558881577851805,3.148783160417209,4.1805721502389135,4.883598771614722,13.792244188129672,12.790986979449524,17.48267575677218,16.436521753036043
1994,2.3432615356484954,1.99135,8.531738804995204,9.20673,7.923068442013196,7.6594208379703534,8.17319269391722,12.502392707316517,4.488858671578924,3.373082593265023,5.087846020399351,4.314,14.571040732215765,15.65501205025832,19.041282694703426,18.3127
1995,2.3923718260743447,2.1009433333333334,8.506780289929065,9.20296750229259,7.852582463547091,7.366,7.658114233264145,11.59681933385663,4.328267719395712,3.415224758485556,5.036041809054081,4.391197395755162,14.011448875004369,15.79654080861132,18.451886219957093,18.173848112911017
1996,2.2687872850668356,2.059716666666666,8.470775272757102,9.14737,8.524703624865424,7.443000000000001,7.152460000711134,12.229751324259862,3.9651827635717476,3.34797,4.753396699681351,4.448,14.07261105224332,16.769229457993216,18.244522448247437,18.04133
1997,2.387864249414595,2.00172,8.344214574188385,8.757946848423437,8.303051998770005,7.810019986671061,7.45657831591109,12.956668316989498,4.2980002899443095,3.50193,5.088350383477018,4.461,13.889109083647147,18.2244,18.1173483246494,17.860247185015933
