,1987-WAS,1987-WAS,1987-WAS,1987-WAS,1998-UBR,1998-UBR,1998-UBR,1998-UBR
,pre_rmspe,post_rmspe,post/pre,Significant,pre_rmspe,post_rmspe,post/pre,Significant
Qinghai,0.04006618299832869,0.21056332297689817,5.255387641634881,True,0.24524715242609132,1.4436697387944404,5.8865912387280845,True
Gansu,0.05151321358528592,0.534191087616287,10.369981805384235,True,0.17296696872616146,1.6521322261113052,9.551720992040593,True
Ningxia,0.2985859364553908,1.7360368570307863,5.81419499404371,True,0.2316933519579235,1.5816085853808732,6.826301108838462,True
Neimeng,0.533792433906161,3.792718794914562,7.1052314607765865,True,1.7852802575624498,2.8641563791094526,1.6043175109212584,False
Shanxi,0.4080494836668203,0.7034783000927983,1.724002426791945,False,0.2956964127071182,1.6571822649805779,5.604336724307799,True
Shaanxi,0.18086857968133177,0.552043174612446,3.0521784136585706,False,0.4084645342538407,1.227447746044672,3.005028939138871,True
Henan,0.15533279318243903,3.209621279252394,20.662869787467738,True,1.3698022493645907,1.6205900790341428,1.1830832368583748,False
Shandong,0.2170437835621078,0.985160099608622,4.538992471658214,False,0.41430247636063683,1.713837459540987,4.136681669382896,True
